domain	property	range	count	domain;label	property;label	range;label
Q134556	P646	external-id	20183.0	'single'@en	'Freebase ID'@en	
Q7366	P646	external-id	1972.0	'song'@en	'Freebase ID'@en	
Q105543609	P646	external-id	44.0	'musical work/composition'@en	'Freebase ID'@en	
Q482994	P646	external-id	34.0	'album'@en	'Freebase ID'@en	
Q169930	P646	external-id	27.0	'extended play'@en	'Freebase ID'@en	
Q7302866	P646	external-id	24.0	'audio track'@en	'Freebase ID'@en	
Q1193470	P646	external-id	6.0	'theme music'@en	'Freebase ID'@en	
Q207628	P646	external-id	5.0	'musical composition'@en	'Freebase ID'@en	
Q1030329	P646	external-id	2.0	'viral video'@en	'Freebase ID'@en	
Q2188189	P646	external-id	2.0	'musical work'@en	'Freebase ID'@en	
Q55850593	P646	external-id	2.0	'music track with vocals'@en	'Freebase ID'@en	
Q63412991	P646	external-id	2.0	'YouTube video'@en	'Freebase ID'@en	
Q7725634	P646	external-id	2.0	'literary work'@en	'Freebase ID'@en	
Q11424	P646	external-id	1.0	'film'@en	'Freebase ID'@en	
Q1151663	P646	external-id	1.0	'novelty music'@en	'Freebase ID'@en	
Q13582719	P646	external-id	1.0	'medley'@en	'Freebase ID'@en	
Q1366112	P646	external-id	1.0	'drama television series'@en	'Freebase ID'@en	
Q1399352	P646	external-id	1.0	'featuring'@en	'Freebase ID'@en	
Q16909656	P646	external-id	1.0	'Monty Python sketch'@en	'Freebase ID'@en	
Q17009617	P646	external-id	1.0	'cup game'@en	'Freebase ID'@en	
Q170539	P646	external-id	1.0	'parody'@en	'Freebase ID'@en	
Q182659	P646	external-id	1.0	'ballad'@en	'Freebase ID'@en	
Q193977	P646	external-id	1.0	'music video'@en	'Freebase ID'@en	
Q24255514	P646	external-id	1.0	'Kesäkumi theme songs'@en	'Freebase ID'@en	
Q2470219	P646	external-id	1.0	'Christmas hit single'@en	'Freebase ID'@en	
Q506240	P646	external-id	1.0	'television film'@en	'Freebase ID'@en	
Q5151790	P646	external-id	1.0	'comedy song'@en	'Freebase ID'@en	
Q571	P646	external-id	1.0	'book'@en	'Freebase ID'@en	
Q719645	P646	external-id	1.0	'CD single'@en	'Freebase ID'@en	
Q748289	P646	external-id	1.0	'tribute'@en	'Freebase ID'@en	
Q134556	P577	time	20852.0	'single'@en	'publication date'@en	
Q7366	P577	time	2007.0	'song'@en	'publication date'@en	
Q105543609	P577	time	42.0	'musical work/composition'@en	'publication date'@en	
Q482994	P577	time	33.0	'album'@en	'publication date'@en	
Q169930	P577	time	29.0	'extended play'@en	'publication date'@en	
Q7302866	P577	time	25.0	'audio track'@en	'publication date'@en	
Q1193470	P577	time	6.0	'theme music'@en	'publication date'@en	
Q207628	P577	time	5.0	'musical composition'@en	'publication date'@en	
Q7725634	P577	time	3.0	'literary work'@en	'publication date'@en	
Q1030329	P577	time	2.0	'viral video'@en	'publication date'@en	
Q2188189	P577	time	2.0	'musical work'@en	'publication date'@en	
Q55850593	P577	time	2.0	'music track with vocals'@en	'publication date'@en	
Q63412991	P577	time	2.0	'YouTube video'@en	'publication date'@en	
Q11424	P577	time	1.0	'film'@en	'publication date'@en	
Q1151663	P577	time	1.0	'novelty music'@en	'publication date'@en	
Q13582719	P577	time	1.0	'medley'@en	'publication date'@en	
Q1366112	P577	time	1.0	'drama television series'@en	'publication date'@en	
Q1399352	P577	time	1.0	'featuring'@en	'publication date'@en	
Q16909656	P577	time	1.0	'Monty Python sketch'@en	'publication date'@en	
Q17009617	P577	time	1.0	'cup game'@en	'publication date'@en	
Q170539	P577	time	1.0	'parody'@en	'publication date'@en	
Q182659	P577	time	1.0	'ballad'@en	'publication date'@en	
Q193977	P577	time	1.0	'music video'@en	'publication date'@en	
Q24255514	P577	time	1.0	'Kesäkumi theme songs'@en	'publication date'@en	
Q2470219	P577	time	1.0	'Christmas hit single'@en	'publication date'@en	
Q506240	P577	time	1.0	'television film'@en	'publication date'@en	
Q5151790	P577	time	1.0	'comedy song'@en	'publication date'@en	
Q571	P577	time	1.0	'book'@en	'publication date'@en	
Q719645	P577	time	1.0	'CD single'@en	'publication date'@en	
Q748289	P577	time	1.0	'tribute'@en	'publication date'@en	
Q873000	P577	time	1.0	'canzone'@en	'publication date'@en	
Q134556	P495	Q6256	8208.0	'single'@en	'country of origin'@en	'country'@en
Q134556	P495	Q3624078	8203.0	'single'@en	'country of origin'@en	'sovereign state'@en
Q134556	P495	Q512187	7730.0	'single'@en	'country of origin'@en	'federal republic'@en
Q134556	P495	Q1520223	7720.0	'single'@en	'country of origin'@en	'constitutional republic'@en
Q134556	P495	Q5255892	7715.0	'single'@en	'country of origin'@en	'democratic republic'@en
Q134556	P495	Q1489259	7699.0	'single'@en	'country of origin'@en	'superpower'@en
Q134556	P495	Q99541706	7699.0	'single'@en	'country of origin'@en	'historical unrecognized state'@en
Q7366	P495	Q6256	909.0	'song'@en	'country of origin'@en	'country'@en
Q7366	P495	Q3624078	908.0	'song'@en	'country of origin'@en	'sovereign state'@en
Q7366	P495	Q512187	650.0	'song'@en	'country of origin'@en	'federal republic'@en
Q7366	P495	Q1520223	649.0	'song'@en	'country of origin'@en	'constitutional republic'@en
Q7366	P495	Q5255892	649.0	'song'@en	'country of origin'@en	'democratic republic'@en
Q7366	P495	Q1489259	646.0	'song'@en	'country of origin'@en	'superpower'@en
Q7366	P495	Q99541706	646.0	'song'@en	'country of origin'@en	'historical unrecognized state'@en
Q134556	P495	Q51576574	378.0	'single'@en	'country of origin'@en	'Mediterranean country'@en
Q134556	P495	Q7270	359.0	'single'@en	'country of origin'@en	'republic'@en
Q134556	P495	Q20181813	248.0	'single'@en	'country of origin'@en	'colonial power'@en
Q7366	P495	Q51576574	224.0	'song'@en	'country of origin'@en	'Mediterranean country'@en
Q7366	P495	Q7270	221.0	'song'@en	'country of origin'@en	'republic'@en
Q7366	P495	Q20181813	214.0	'song'@en	'country of origin'@en	'colonial power'@en
Q134556	P495	Q179164	147.0	'single'@en	'country of origin'@en	'unitary state'@en
Q134556	P495	Q619610	141.0	'single'@en	'country of origin'@en	'social state'@en
Q134556	P495	Q185145	123.0	'single'@en	'country of origin'@en	'great power'@en
Q134556	P495	Q1250464	47.0	'single'@en	'country of origin'@en	'realm'@en
Q134556	P495	Q202686	43.0	'single'@en	'country of origin'@en	'Commonwealth realm'@en
Q134556	P495	Q112099	38.0	'single'@en	'country of origin'@en	'island nation'@en
Q134556	P495	Q43702	30.0	'single'@en	'country of origin'@en	'federation'@en
Q134556	P495	Q63791824	28.0	'single'@en	'country of origin'@en	'country bordering the Baltic Sea'@en
Q7366	P495	Q179164	26.0	'song'@en	'country of origin'@en	'unitary state'@en
Q134556	P495	Q223832	23.0	'single'@en	'country of origin'@en	'dominion of the British Empire'@en
Q134556	P495	Q859563	22.0	'single'@en	'country of origin'@en	'secular state'@en
Q134556	P495	Q4209223	21.0	'single'@en	'country of origin'@en	'Rechtsstaat'@en
Q134556	P495	Q6266	19.0	'single'@en	'country of origin'@en	'nation'@en
Q7302866	P495	Q3624078	18.0	'audio track'@en	'country of origin'@en	'sovereign state'@en
Q7302866	P495	Q6256	18.0	'audio track'@en	'country of origin'@en	'country'@en
Q7366	P495	Q202686	18.0	'song'@en	'country of origin'@en	'Commonwealth realm'@en
Q105543609	P495	Q3624078	17.0	'musical work/composition'@en	'country of origin'@en	'sovereign state'@en
Q105543609	P495	Q6256	17.0	'musical work/composition'@en	'country of origin'@en	'country'@en
Q7302866	P495	Q1489259	17.0	'audio track'@en	'country of origin'@en	'superpower'@en
Q7302866	P495	Q1520223	17.0	'audio track'@en	'country of origin'@en	'constitutional republic'@en
Q7302866	P495	Q512187	17.0	'audio track'@en	'country of origin'@en	'federal republic'@en
Q7302866	P495	Q5255892	17.0	'audio track'@en	'country of origin'@en	'democratic republic'@en
Q7302866	P495	Q99541706	17.0	'audio track'@en	'country of origin'@en	'historical unrecognized state'@en
Q7366	P495	Q63791824	17.0	'song'@en	'country of origin'@en	'country bordering the Baltic Sea'@en
Q105543609	P495	Q1489259	16.0	'musical work/composition'@en	'country of origin'@en	'superpower'@en
Q105543609	P495	Q1520223	16.0	'musical work/composition'@en	'country of origin'@en	'constitutional republic'@en
Q105543609	P495	Q512187	16.0	'musical work/composition'@en	'country of origin'@en	'federal republic'@en
Q105543609	P495	Q5255892	16.0	'musical work/composition'@en	'country of origin'@en	'democratic republic'@en
Q105543609	P495	Q99541706	16.0	'musical work/composition'@en	'country of origin'@en	'historical unrecognized state'@en
Q7366	P495	Q43702	16.0	'song'@en	'country of origin'@en	'federation'@en
Q7366	P495	Q619610	16.0	'song'@en	'country of origin'@en	'social state'@en
Q134556	P495	Q48349	15.0	'single'@en	'country of origin'@en	'empire'@en
Q134556	P495	Q611214	15.0	'single'@en	'country of origin'@en	'Next Eleven'@en
Q7366	P495	Q223832	14.0	'song'@en	'country of origin'@en	'dominion of the British Empire'@en
Q7366	P495	Q185145	10.0	'song'@en	'country of origin'@en	'great power'@en
Q134556	P495	Q1323642	9.0	'single'@en	'country of origin'@en	'transcontinental country'@en
Q7366	P495	Q112099	9.0	'song'@en	'country of origin'@en	'island nation'@en
Q7366	P495	Q1250464	9.0	'song'@en	'country of origin'@en	'realm'@en
Q134556	P495	Q339834	8.0	'single'@en	'country of origin'@en	'regional power'@en
Q169930	P495	Q3624078	8.0	'extended play'@en	'country of origin'@en	'sovereign state'@en
Q169930	P495	Q6256	8.0	'extended play'@en	'country of origin'@en	'country'@en
Q169930	P495	Q1489259	7.0	'extended play'@en	'country of origin'@en	'superpower'@en
Q169930	P495	Q1520223	7.0	'extended play'@en	'country of origin'@en	'constitutional republic'@en
Q169930	P495	Q512187	7.0	'extended play'@en	'country of origin'@en	'federal republic'@en
Q169930	P495	Q5255892	7.0	'extended play'@en	'country of origin'@en	'democratic republic'@en
Q169930	P495	Q99541706	7.0	'extended play'@en	'country of origin'@en	'historical unrecognized state'@en
Q482994	P495	Q1489259	7.0	'album'@en	'country of origin'@en	'superpower'@en
Q482994	P495	Q1520223	7.0	'album'@en	'country of origin'@en	'constitutional republic'@en
Q482994	P495	Q3624078	7.0	'album'@en	'country of origin'@en	'sovereign state'@en
Q482994	P495	Q512187	7.0	'album'@en	'country of origin'@en	'federal republic'@en
Q482994	P495	Q5255892	7.0	'album'@en	'country of origin'@en	'democratic republic'@en
Q482994	P495	Q6256	7.0	'album'@en	'country of origin'@en	'country'@en
Q482994	P495	Q99541706	7.0	'album'@en	'country of origin'@en	'historical unrecognized state'@en
Q7366	P495	Q4209223	5.0	'song'@en	'country of origin'@en	'Rechtsstaat'@en
Q1193470	P495	Q1489259	4.0	'theme music'@en	'country of origin'@en	'superpower'@en
Q1193470	P495	Q1520223	4.0	'theme music'@en	'country of origin'@en	'constitutional republic'@en
Q1193470	P495	Q3624078	4.0	'theme music'@en	'country of origin'@en	'sovereign state'@en
Q1193470	P495	Q512187	4.0	'theme music'@en	'country of origin'@en	'federal republic'@en
Q1193470	P495	Q5255892	4.0	'theme music'@en	'country of origin'@en	'democratic republic'@en
Q1193470	P495	Q6256	4.0	'theme music'@en	'country of origin'@en	'country'@en
Q1193470	P495	Q99541706	4.0	'theme music'@en	'country of origin'@en	'historical unrecognized state'@en
Q134556	P495	Q3336843	4.0	'single'@en	'country of origin'@en	'constituent country of the United Kingdom'@en
Q134556	P495	Q7275	4.0	'single'@en	'country of origin'@en	'state'@en
Q7366	P495	Q6266	4.0	'song'@en	'country of origin'@en	'nation'@en
Q134556	P495	Q15304003	3.0	'single'@en	'country of origin'@en	'country of the Kingdom of the Netherlands'@en
Q134556	P495	Q185441	3.0	'single'@en	'country of origin'@en	'member state of the european union'@en
Q134556	P495	Q518261	3.0	'single'@en	'country of origin'@en	'cultural area'@en
Q134556	P495	Q66724388	3.0	'single'@en	'country of origin'@en	'autonomous country within the Kingdom of Denmark'@en
Q7366	P495	Q7275	3.0	'song'@en	'country of origin'@en	'state'@en
Q134556	P495	Q123480	2.0	'single'@en	'country of origin'@en	'landlocked country'@en
Q134556	P495	Q1351282	2.0	'single'@en	'country of origin'@en	'crown colony'@en
Q134556	P495	Q63438000	2.0	'single'@en	'country of origin'@en	'climate emergency declaration'@en
Q207628	P495	Q3624078	2.0	'musical composition'@en	'country of origin'@en	'sovereign state'@en
Q207628	P495	Q6256	2.0	'musical composition'@en	'country of origin'@en	'country'@en
Q63412991	P495	Q1489259	2.0	'YouTube video'@en	'country of origin'@en	'superpower'@en
Q63412991	P495	Q1520223	2.0	'YouTube video'@en	'country of origin'@en	'constitutional republic'@en
