class	count	class;label	percentage
Q5	63585	'human'@en	28.01%
Q482994	63185	'album'@en	27.84%
Q215380	22791	'musical group'@en	10.04%
Q134556	20968	'single'@en	9.24%
Q105543609	10530	'musical work/composition'@en	4.64%
Q169930	3791	'extended play'@en	1.67%
Q18127	3541	'record label'@en	1.56%
Q11424	2846	'film'@en	1.25%
Q101352	2375	'family name'@en	1.05%
Q7366	2090	'song'@en	0.92%
Q58483083	1741	'dramatico-musical work'@en	0.77%
Q1573906	1231	'concert tour'@en	0.54%
Q4830453	1098	'business'@en	0.48%
Q7725634	1025	'literary work'@en	0.45%
Q5741069	952	'rock group'@en	0.42%
Q273057	882	'discography'@en	0.39%
Q5398426	874	'television series'@en	0.39%
Q2088357	825	'musical ensemble'@en	0.36%
Q42998	745	'orchestra'@en	0.33%
Q868557	698	'music festival'@en	0.31%
Q9212979	651	'musical duo'@en	0.29%
Q188451	595	'music genre'@en	0.26%
Q104635718	502	'Wikimedia artist discography'@en	0.22%
Q16521	475	'taxon'@en	0.21%
Q4504495	464	'award ceremony'@en	0.2%
Q47461344	410	'written work'@en	0.18%
Q38033430	401	'class of award'@en	0.18%
Q43229	367	'organization'@en	0.16%
Q12308941	298	'male given name'@en	0.13%
Q7889	280	'video game'@en	0.12%
Q131186	274	'choir'@en	0.12%
Q41298	266	'magazine'@en	0.12%
Q1549591	243	'big city'@en	0.11%
Q75054287	236	'music by country or region'@en	0.1%
Q15416	232	'television program'@en	0.1%
Q11879590	232	'female given name'@en	0.1%
Q163740	228	'nonprofit organization'@en	0.1%
Q24354	212	'theatre'@en	0.09%
Q182659	211	'ballad'@en	0.09%
Q746369	210	'recording studio'@en	0.09%
Q15632617	208	'fictional human'@en	0.09%
Q641066	205	'girl group'@en	0.09%
Q515	203	'city'@en	0.09%
Q13406463	203	'Wikimedia list article'@en	0.09%
Q6881511	196	'enterprise'@en	0.09%
Q618779	193	'award'@en	0.09%
Q14350	185	'radio station'@en	0.08%
Q486972	184	'human settlement'@en	0.08%
Q10590726	168	'video album'@en	0.07%
Q35127	166	'website'@en	0.07%
Q8719053	165	'music venue'@en	0.07%
Q184644	151	'conservatory'@en	0.07%
Q28640	145	'profession'@en	0.06%
Q15275719	136	'recurring event'@en	0.06%
Q3957	134	'town'@en	0.06%
Q207338	134	'string quartet'@en	0.06%
Q153562	131	'opera house'@en	0.06%
Q532	119	'village'@en	0.05%
Q216337	117	'boy band'@en	0.05%
Q21191270	117	'television series episode'@en	0.05%
Q1555508	115	'radio program'@en	0.05%
Q12737077	115	'occupation'@en	0.05%
Q10648343	112	'duo'@en	0.05%
Q506240	111	'television film'@en	0.05%
Q17350442	111	'venue'@en	0.05%
Q107357104	111	'type of dance'@en	0.05%
Q98645843	108	'Wikimedia music-related list'@en	0.05%
Q891723	104	'public company'@en	0.05%
Q1542343	104	'independent record label'@en	0.05%
Q14073567	102	'sibling duo'@en	0.04%
Q373899	100	'record chart'@en	0.04%
Q23691	99	'national anthem'@en	0.04%
Q484170	96	'commune of France'@en	0.04%
Q3658341	96	'literary character'@en	0.04%
Q1093829	94	'city of the United States'@en	0.04%
Q55983715	93	'organisms known by a particular common name'@en	0.04%
Q11862829	93	'academic discipline'@en	0.04%
Q3464665	92	'television series season'@en	0.04%
Q1060829	91	'concert hall'@en	0.04%
Q151885	90	'concept'@en	0.04%
Q3186692	86	'calendar year'@en	0.04%
Q20819922	86	'opera company'@en	0.04%
Q5185279	84	'poem'@en	0.04%
Q239582	84	'symphony orchestra'@en	0.04%
Q1637706	84	'million city'@en	0.04%
Q15079786	82	'ballet'@en	0.04%
Q3624078	81	'sovereign state'@en	0.04%
Q783794	80	'company'@en	0.04%
Q1114461	80	'comics character'@en	0.04%
Q622425	77	'nightclub'@en	0.03%
Q577	77	'year'@en	0.03%
Q431289	77	'brand'@en	0.03%
Q15773317	77	'television character'@en	0.03%
Q862597	76	'musical form'@en	0.03%
Q6256	75	'country'@en	0.03%
Q41253	74	'movie theater'@en	0.03%
Q24862	74	'short film'@en	0.03%
Q18340514	74	'events in a specific year or time period'@en	0.03%
Q1364556	74	'music award'@en	0.03%
Q23442	73	'island'@en	0.03%
Q20643955	71	'human biblical figure'@en	0.03%
Q20202269	69	'musical term'@en	0.03%
Q1426710	68	'marching band'@en	0.03%
Q11173	68	'chemical compound'@en	0.03%
Q5119	67	'capital'@en	0.03%
Q107655869	67	'group of awards'@en	0.03%
Q9826	65	'high school'@en	0.03%
Q786820	65	'automobile manufacturer'@en	0.03%
Q3046146	65	'married couple'@en	0.03%
Q23847174	65	'religious concept'@en	0.03%
Q1115575	65	'civil parish'@en	0.03%
Q107487333	65	'type of musical work/composition'@en	0.03%
Q11483816	64	'annual event'@en	0.03%
Q747074	63	'commune of Italy'@en	0.03%
Q56219051	63	'family name prefixed with Mac or Mc'@en	0.03%
Q82799	62	'name'@en	0.03%
Q223393	62	'literary genre'@en	0.03%
Q196600	62	'media franchise'@en	0.03%
Q15773347	62	'film character'@en	0.03%
Q839954	60	'archaeological site'@en	0.03%
Q4164871	60	'position'@en	0.03%
