class	count	class;label
Q5	63585	'human'@en
Q482994	63185	'album'@en
Q215380	22791	'musical group'@en
Q134556	20968	'single'@en
Q105543609	10530	'musical work/composition'@en
Q169930	3791	'extended play'@en
Q18127	3541	'record label'@en
Q11424	2846	'film'@en
Q101352	2375	'family name'@en
Q7366	2090	'song'@en
Q58483083	1741	'dramatico-musical work'@en
Q1573906	1231	'concert tour'@en
Q4830453	1098	'business'@en
Q7725634	1025	'literary work'@en
Q5741069	952	'rock group'@en
Q273057	882	'discography'@en
Q5398426	874	'television series'@en
Q2088357	825	'musical ensemble'@en
Q42998	745	'orchestra'@en
Q868557	698	'music festival'@en
Q9212979	651	'musical duo'@en
Q188451	595	'music genre'@en
Q104635718	502	'Wikimedia artist discography'@en
Q16521	475	'taxon'@en
Q4504495	464	'award ceremony'@en
Q47461344	410	'written work'@en
Q38033430	401	'class of award'@en
Q43229	367	'organization'@en
Q12308941	298	'male given name'@en
Q7889	280	'video game'@en
Q131186	274	'choir'@en
Q41298	266	'magazine'@en
Q1549591	243	'big city'@en
Q75054287	236	'music by country or region'@en
Q15416	232	'television program'@en
Q11879590	232	'female given name'@en
Q163740	228	'nonprofit organization'@en
Q24354	212	'theatre'@en
Q182659	211	'ballad'@en
Q746369	210	'recording studio'@en
Q15632617	208	'fictional human'@en
Q641066	205	'girl group'@en
Q515	203	'city'@en
Q13406463	203	'Wikimedia list article'@en
Q6881511	196	'enterprise'@en
Q618779	193	'award'@en
Q14350	185	'radio station'@en
Q486972	184	'human settlement'@en
Q10590726	168	'video album'@en
Q35127	166	'website'@en
Q8719053	165	'music venue'@en
Q184644	151	'conservatory'@en
Q28640	145	'profession'@en
Q15275719	136	'recurring event'@en
Q3957	134	'town'@en
Q207338	134	'string quartet'@en
Q153562	131	'opera house'@en
Q532	119	'village'@en
Q216337	117	'boy band'@en
Q21191270	117	'television series episode'@en
Q1555508	115	'radio program'@en
Q12737077	115	'occupation'@en
Q10648343	112	'duo'@en
Q506240	111	'television film'@en
Q17350442	111	'venue'@en
Q107357104	111	'type of dance'@en
Q98645843	108	'Wikimedia music-related list'@en
Q891723	104	'public company'@en
Q1542343	104	'independent record label'@en
Q14073567	102	'sibling duo'@en
Q373899	100	'record chart'@en
Q23691	99	'national anthem'@en
Q484170	96	'commune of France'@en
Q3658341	96	'literary character'@en
Q1093829	94	'city of the United States'@en
Q55983715	93	'organisms known by a particular common name'@en
Q11862829	93	'academic discipline'@en
Q3464665	92	'television series season'@en
Q1060829	91	'concert hall'@en
Q151885	90	'concept'@en
Q3186692	86	'calendar year'@en
Q20819922	86	'opera company'@en
Q5185279	84	'poem'@en
Q239582	84	'symphony orchestra'@en
Q1637706	84	'million city'@en
Q15079786	82	'ballet'@en
Q3624078	81	'sovereign state'@en
Q783794	80	'company'@en
Q1114461	80	'comics character'@en
Q622425	77	'nightclub'@en
Q577	77	'year'@en
Q431289	77	'brand'@en
Q15773317	77	'television character'@en
Q862597	76	'musical form'@en
Q6256	75	'country'@en
Q41253	74	'movie theater'@en
Q24862	74	'short film'@en
Q18340514	74	'events in a specific year or time period'@en
Q1364556	74	'music award'@en
Q23442	73	'island'@en
Q20643955	71	'human biblical figure'@en
Q20202269	69	'musical term'@en
Q1426710	68	'marching band'@en
Q11173	68	'chemical compound'@en
Q5119	67	'capital'@en
Q107655869	67	'group of awards'@en
Q9826	65	'high school'@en
Q786820	65	'automobile manufacturer'@en
Q3046146	65	'married couple'@en
Q23847174	65	'religious concept'@en
Q1115575	65	'civil parish'@en
Q107487333	65	'type of musical work/composition'@en
Q11483816	64	'annual event'@en
Q747074	63	'commune of Italy'@en
Q56219051	63	'family name prefixed with Mac or Mc'@en
Q82799	62	'name'@en
Q223393	62	'literary genre'@en
Q196600	62	'media franchise'@en
Q15773347	62	'film character'@en
Q839954	60	'archaeological site'@en
Q4164871	60	'position'@en
Q570116	58	'tourist attraction'@en
Q32178211	58	'music organization'@en
Q167270	58	'trademark'@en
Q56816954	57	'heavy metal band'@en
Q41710	57	'ethnic group'@en
Q15711870	57	'animated character'@en
Q2442401	56	'record company'@en
Q281643	55	'musical trio'@en
Q132241	54	'festival'@en
Q708676	52	'charitable organization'@en
Q62049	52	'county seat'@en
Q41176	51	'building'@en
Q2608849	50	'imprint'@en
Q22988604	50	'mythological Greek character'@en
Q11032	49	'newspaper'@en
Q7058673	48	'video game series'@en
Q3257686	47	'locality'@en
Q2001305	47	'television channel'@en
Q187931	47	'phrase'@en
Q8502	46	'mountain'@en
Q811979	46	'architectural structure'@en
Q54982412	46	'songwriting team'@en
Q3062294	46	'Latin phrase'@en
Q123705	46	'neighborhood'@en
Q3918	45	'university'@en
Q3409032	45	'unisex given name'@en
Q856713	44	'Christian hymn'@en
Q82794	44	'geographic region'@en
Q3305213	44	'painting'@en
Q19464263	44	'rap group'@en
Q1917775	44	'music publishing company'@en
Q1914636	44	'activity'@en
Q120544	43	'vocal group'@en
Q107356781	43	'song type'@en
Q936518	42	'aerospace manufacturer'@en
Q4022	42	'river'@en
Q21198342	42	'manga series'@en
Q16334295	42	'group of humans'@en
Q7302866	41	'audio track'@en
Q55190325	41	'musical instrument manufacturing company'@en
Q202444	41	'given name'@en
Q19351429	41	'a cappella group'@en
Q1800833	41	'rockumentary'@en
Q1616075	41	'television station'@en
Q1261214	41	'television special'@en
Q3085519	40	'pipe band'@en
Q24869	40	'feature film'@en
Q1969448	40	'term'@en
Q1002697	40	'periodical'@en
Q67911299	39	'compilation album series'@en
Q28820001	39	'music scene'@en
Q215048	39	'supergroup'@en
Q19716577	39	'synthesizer model'@en
Q84310035	38	'record production team'@en
Q581714	38	'animated series'@en
Q2085381	38	'publisher'@en
Q2619673	37	'DJ mix'@en
Q21070568	37	'human who may be fictional'@en
Q12140	37	'medication'@en
Q12136	37	'disease'@en
Q829026	36	'occupational surname'@en
Q742421	36	'theatrical troupe'@en
Q35657	36	'U.S. state'@en
Q1824338	36	'music magazine'@en
Q1684522	36	'jazz club'@en
Q11455398	36	'patronymic surname'@en
Q4671286	35	'academic major'@en
Q31629	35	'type of sport'@en
Q2301325	35	'identical twins'@en
Q182832	35	'concert'@en
Q95074	34	'fictional character'@en
Q7397	34	'software'@en
Q3914	34	'school'@en
Q33506	34	'museum'@en
Q33104279	34	'philosophical concept'@en
Q29168811	34	'animated feature film'@en
Q17489659	34	'group of works'@en
Q1406161	34	'artistic theme'@en
Q5633421	33	'scientific journal'@en
Q42744322	33	'urban municipality of Germany'@en
Q394970	33	'box set'@en
Q34442	33	'road'@en
Q229390	33	'3D film'@en
Q21199	33	'natural number'@en
Q641226	32	'arena'@en
Q4271324	32	'mythical character'@en
Q20671381	32	'album series'@en
