domain	property	range	count	domain;label	property;label	range;label
Q27686	P10290	Q110772636	63	'hotel'@en	'hotel rating'@en	'hotel star rating'@en
Q27686	P10290	Q618779	63	'hotel'@en	'hotel rating'@en	'award'@en
Q11303	P10290	Q110772636	7	'skyscraper'@en	'hotel rating'@en	'hotel star rating'@en
Q11303	P10290	Q618779	7	'skyscraper'@en	'hotel rating'@en	'award'@en
Q41176	P10290	Q110772636	3	'building'@en	'hotel rating'@en	'hotel star rating'@en
Q41176	P10290	Q618779	3	'building'@en	'hotel rating'@en	'award'@en
Q133215	P10290	Q110772636	2	'casino'@en	'hotel rating'@en	'hotel star rating'@en
Q133215	P10290	Q618779	2	'casino'@en	'hotel rating'@en	'award'@en
Q1343246	P10290	Q110772636	2	'English country house'@en	'hotel rating'@en	'hotel star rating'@en
Q1343246	P10290	Q618779	2	'English country house'@en	'hotel rating'@en	'award'@en
Q811979	P10290	Q110772636	2	'architectural structure'@en	'hotel rating'@en	'hotel star rating'@en
Q811979	P10290	Q618779	2	'architectural structure'@en	'hotel rating'@en	'award'@en
Q11298947	P10290	Q110772636	1	'classic hotel'@en	'hotel rating'@en	'hotel star rating'@en
Q11298947	P10290	Q618779	1	'classic hotel'@en	'hotel rating'@en	'award'@en
Q1341387	P10290	Q110772636	1	'spa'@en	'hotel rating'@en	'hotel star rating'@en
Q1341387	P10290	Q618779	1	'spa'@en	'hotel rating'@en	'award'@en
Q1378975	P10290	Q110772636	1	'convention center'@en	'hotel rating'@en	'hotel star rating'@en
Q1378975	P10290	Q618779	1	'convention center'@en	'hotel rating'@en	'award'@en
Q18142	P10290	Q110772636	1	'high-rise building'@en	'hotel rating'@en	'hotel star rating'@en
Q18142	P10290	Q618779	1	'high-rise building'@en	'hotel rating'@en	'award'@en
Q23413	P10290	Q110772636	1	'castle'@en	'hotel rating'@en	'hotel star rating'@en
Q23413	P10290	Q618779	1	'castle'@en	'hotel rating'@en	'award'@en
Q2880255	P10290	Q110772636	1	'resort hotel'@en	'hotel rating'@en	'hotel star rating'@en
Q2880255	P10290	Q618779	1	'resort hotel'@en	'hotel rating'@en	'award'@en
Q618123	P10290	Q110772636	1	'geographical feature'@en	'hotel rating'@en	'hotel star rating'@en
Q618123	P10290	Q618779	1	'geographical feature'@en	'hotel rating'@en	'award'@en
Q27686	P126	Q1006283	1	'hotel'@en	'maintained by'@en	'national trust'@en
Q27686	P126	Q163740	1	'hotel'@en	'maintained by'@en	'nonprofit organization'@en
Q27686	P126	Q2668072	1	'hotel'@en	'maintained by'@en	'collection'@en
Q27686	P127	Q4830453	22	'hotel'@en	'owned by'@en	'business'@en
Q27686	P127	Q6881511	10	'hotel'@en	'owned by'@en	'enterprise'@en
Q27686	P127	Q891723	10	'hotel'@en	'owned by'@en	'public company'@en
Q27686	P127	Q1631129	9	'hotel'@en	'owned by'@en	'hotel chain'@en
Q27686	P127	Q5	8	'hotel'@en	'owned by'@en	'human'@en
Q27686	P127	Q27686	4	'hotel'@en	'owned by'@en	'hotel'@en
Q27686	P127	Q658255	3	'hotel'@en	'owned by'@en	'subsidiary'@en
Q11303	P127	Q1631129	2	'skyscraper'@en	'owned by'@en	'hotel chain'@en
Q11303	P127	Q4830453	2	'skyscraper'@en	'owned by'@en	'business'@en
Q11303	P127	Q6881511	2	'skyscraper'@en	'owned by'@en	'enterprise'@en
Q11303	P127	Q891723	2	'skyscraper'@en	'owned by'@en	'public company'@en
Q133215	P127	Q4830453	2	'casino'@en	'owned by'@en	'business'@en
Q133215	P127	Q6881511	2	'casino'@en	'owned by'@en	'enterprise'@en
Q1343246	P127	Q5	2	'English country house'@en	'owned by'@en	'human'@en
Q11298947	P127	Q85907346	1	'classic hotel'@en	'owned by'@en	'rail company (Japan)'@en
Q11298947	P127	Q891723	1	'classic hotel'@en	'owned by'@en	'public company'@en
Q11303	P127	Q27686	1	'skyscraper'@en	'owned by'@en	'hotel'@en
